"주택유형별","지역별","항목","단위","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월",
"종합","전국","월세수급동향","","94.82581156","94.61005542","95.20981789","95.54631829","95.34639747","94.42750812","94.67141726","94.41409343","94.50514648","94.61401425","94.33491686","94.16666667","94.19239905","93.93903405","94.06293892","93.94146453","94.19090288","94.0059978","94.03446836","94.19483479","94.38938255","94.32176656","94.2882216","94.34084336","94.30435113","94.19183286","93.94158089","94.22835872","93.32054545","93.25134973","92.98755342","92.97255755","92.62202894","89.95463747","88.53002924","87.93581765","87.66214291","87.79335683","88.19449651","87.56841868","86.97045812","86.1981705","84.08661188","82.50672678","81.73223766","81.52498","81.47952876","81.34135699","82.83942986","84.49749109","85.19636364","85.73090909","87.08363636","89.23351029","90.42425526","91.0178584","91.31608668","90.55332063","90.47392194","92.78355971","97.25092576","98.70040557","101.1988717","102.9407616","104.7672779","107.6287024","107.2161495","106.7824401","105.7775035","104.2824401","103.5948519","105.377292","105.6042885","107.1431666","107.4756335","109.5884774","103.2791856","100.1451976","99.94041687","99.70971795","100.092087","100.7940291","100.9039475","100.7528163","100.4842484","101.0487313","99.64262508","98.7275287","95.5544726","92.52328352","90.56765328","90.45454545","90.86257928","91.45560254","92.37420719","92.85835095","93.29915433","94.22938689","95.06342495","95.44608879","95.64164905","95.14693446","95.27714345","95.9570272","96.06082624","96.12725763","96.71891219","96.75108989","97.22337554","97.67905335","97.95931077","98.17936475","98.14303508","98.13784513","98.15030102","98.34129126","98.62570064","98.41187461","98.56134524","98.7803612207","99.03155491","99.35021798","99.78202201","100.6113764","100.9840149","101.417895",
"종합","수도권","월세수급동향","","91.29624926","90.89831513","91.42324951","92.80331894","92.55355177","91.75768352","92.29531792","92.50275167","92.68055203","93.04461942","93.32401998","93.57378715","93.5483871","93.23088646","92.89943228","93.33333333","93.56748864","93.83617194","93.91321979","93.91321979","94.44849959","94.90417411","95.40042407","95.26307229","95.24254489","94.90830899","94.70545278","95.09087958","94.46608244","94.63230721","94.58650707","94.69920721","93.80537852","90.43214674","88.60174102","89.03311052","89.05642779","90.15622571","91.34929271","90.42437432","89.98911861","89.00979325","86.58914143","83.56490221","82.42090161","82.44355509","83.34214302","83.70082308","85.72453372","89.06214604","90.62381995","91.49233442","92.69315006","95.86574039","96.36962502","96.9378891","97.50253366","97.01838182","96.37791287","99.34510457","103.3480367","104.9135874","107.8218752","109.9038531","110.9773729","113.0557363","112.5243982","111.9677583","110.3629003","108.490566","107.7568134","110.420733","109.2933492","110.6797003","110.6774164","111.709757","103.4076375","99.23228077","99.50884086","98.57221182","99.27797834","100.9297757","100.8891429","100.7812143","100.0890899","100.8934284","99.30111456","97.7297643","93.58898228","89.74968025","87.3321736","87.36116687","88.3224051","89.39292564","91.15259378","91.95102369","92.55096124","93.71292208","94.86150141","95.09121727","95.40568268","95.00200723","94.93424789","95.72938966","95.87137927","96.57914282","97.7019529","97.77622439","99.16990694","99.61335139","100.1376207","100.4478134","100.1419896","99.75752545","99.60242911","99.88422386","100.3385906","100.030307","100.4329567","100.8529246222","101.0715677","101.1559943","101.9050093","102.8120535","103.3056241","103.4116985",
"종합","지방","월세수급동향","","97.92549632","97.86973009","98.53520708","97.95523831","97.79909287","96.77251432","96.75812328","96.09264629","96.10751729","95.99226708","95.22269314","94.68733735","94.75797457","94.5609339","95.0867052","94.47655748","94.73947181","94.1554271","94.14115464","94.44285714","94.33733219","93.80938773","93.31038933","93.52958008","93.47872721","93.5611742","93.26929944","93.46925659","92.31236164","91.96480301","91.4976825","91.3637022","91.51940904","89.50970452","88.46320973","86.91338355","86.36297798","85.59168598","85.25492468","84.90730012","84.15773465","83.57836037","81.76239568","81.52394979","81.09264324","80.67185637","79.74963181","79.15001052","80.15989901","80.25808261","80.15639245","80.38081212","81.87460551","83.0738481","84.76718556","85.38567493","85.43044077","84.40082645","84.8553719","86.54137409","91.44637202","92.78535041","94.89226957","96.31031872","98.85385833","102.4609348","102.1614924","101.8448406","101.4111654","100.2753493","99.63172025","100.5747918","102.2777824","103.9541972","104.5885164","107.6756734","103.1633578","100.9686328","100.3296658","100.7353244","100.8261568","100.671611","100.9172988","100.7272053","100.8406824","101.1887593","99.95057253","99.62723453","97.32679792","95.02430184","93.48297898","93.24183112","93.15140067","93.31417548","93.47494072","93.67589727","93.97331297","94.694747","95.24536795","95.76584542","95.85426631","95.277521","95.58759543","96.16312646","96.2323484","95.71812824","95.82888335","95.82295004","95.46101816","95.92777184","95.98710494","96.12554883","96.33321467","96.67141331","96.83556821","96.94434556","97.07487837","96.92099071","96.83723527","96.8711362821","97.15231524","97.68675468","97.82634707","98.58413433","98.84537152","99.58122283",
"종합","6대광역시","월세수급동향","","96.89119171","96.89904224","97.54278537","98.12372429","98.02951798","96.8283875","97.50353274","96.35735594","96.59287172","96.89119171","96.67922751","97.15810959","96.85978961","96.68707803","96.38197816","96.23027913","96.22269417","95.93446602","95.72208738","95.86180714","95.94779177","96.00789314","95.77368261","95.60164084","95.29018535","95.76502732","95.24893746","95.24134791","94.62659381","92.44346387","91.712631","91.98152234","91.98841699","89.38223938","87.70683949","86.74158853","85.84528406","84.99034749","84.76282405","84.48703806","83.87341423","83.23910645","81.56688242","81.47249191","81.55339806","80.73759439","80.32632147","79.86785329","80.35329018","80.77804746","81.49946063","82.19390507","84.82335491","86.23247033","87.08102402","88.39403537","88.49300607","87.23937714","87.54288731","88.38743732","91.29057799","92.8939034","96.30558121","98.30452566","101.8538066","105.5482254","104.8951049","105.0270484","103.8593482","102.8895633","103.0478955","104.1034437","101.9497713","105.2194496","107.4660997","110.6073979","104.2766589","100.9755902","99.570626","100.4333868","99.71905603","100.6661316","100.4817729","99.49843512","99.45822297","99.85152488","98.02615743","96.95498676","93.48872663","91.10567279","89.76736875","89.13077649","90.22712983","90.27428482","90.54542597","90.84407419","90.7376856","91.59399796","92.24998036","92.65064027","92.65456831","92.30104486","92.7425545","93.28753454","93.78262204","93.84402825","94.262358","93.92462389","93.70970218","94.43122505","94.7574455","95.24869512","95.59794289","95.75529628","95.71691741","95.92032545","95.95486644","95.71045576","95.71428571","95.0785139793","95.5227882","96.26579854","96.81348142","97.65990042","98.38759096","99.48678667",
"종합","5대광역시","월세수급동향","","97.80176644","97.75269872","98.51815505","98.58684985","98.46908734","96.94798822","97.26202159","95.86849853","96.14327772","96.51619235","96.22178606","96.40824338","96.19234544","96.31010795","96.35711589","96.06455266","96.30049075","95.95130238","95.66817667","96.02154602","96.1095373","96.13713638","95.60887709","95.40468986","94.99810893","95.31545145","94.88099736","94.80544012","94.16320363","91.85846788","90.96530402","91.2572999","91.30024047","88.81827551","87.71040879","86.61971831","85.8210237","85.10821024","84.65304019","84.11198901","83.14153212","82.29989694","80.3646446","80.47386994","80.73433036","79.65888086","78.94471517","78.53301966","78.49100991","78.99512687","78.81028399","79.52444967","82.54074945","83.97748278","85.69778951","86.58858463","86.04420983","84.32035632","85.04618938","86.2339162","89.97030683","91.53744639","94.92825334","96.71779647","100.5690252","105.1789543","104.387267","103.8017483","102.6636978","101.6246083","101.5338941","102.2513607","102.3146272","105.1458671","106.1993517","109.6535656","103.8594003","100.4004461","99.20466059","100.3444782","100.1114714","100.1013069","99.90875912","98.79951373","98.89035266","98.98165974","97.38654781","96.62175851","93.39546191","90.80733387","89.13324067","88.33895949","89.60980937","89.83816521","90.200556","90.58280381","90.51801131","91.65426218","91.91227548","92.32906619","92.43822566","91.94204624","92.52549781","92.89460903","93.25886353","93.17144245","93.26372025","93.0160272","92.73433706","93.17144245","93.23943662","93.50169985","93.93394852","93.96308888","94.24477902","94.7353084","94.81301603","94.80412171","95.13463595","94.6826091183","94.68746962","95.23670652","95.6206863","96.56362399","97.13716341","98.2161952",
"종합","9개도","월세수급동향","","95.25194478","94.7508585","95.09426028","95.59184246","95.36758007","93.94757132","94.00098115","94.11661644","94.16917794","94.16567384","93.81175976","93.33169809","93.54194407","93.67509987","93.94777163","93.70794751","93.96907904","93.81453601","93.83119046","94.10196601","94.2619127","94.16905731","94.08436558","94.11686144","94.21368948","94.0429362","93.64042397","94.11705886","93.02713152","94.34273288","94.10506382","94.05246178","93.88764203","91.16285594","90.28264834","89.55323327","89.11488287","89.35334549","89.4725768","88.58886239","88.08738954","87.64903914","86.05556301","85.14964434","84.09944974","83.77399007","83.64984566","83.39820158","84.44168568","85.57240639","86.06040268","86.16778523","86.76174497","88.28680714","89.42075361","89.85308521","90.30235747","89.38295788","89.6604636","92.13171464","97.18796894","98.55157565","100.4892368","102.0808871","103.3757339","105.8382257","105.6849315","105.3783431","105.1304631","103.7508154","102.654925","104.3803001","107.4326423","108.4284494","107.4986412","109.833838","103.4552372","100.3145998","100.6680649","100.0912444","101.182708","102.0563905","101.9469164","101.895072","101.681684","102.1342292","100.5668142","99.59624194","96.56611538","93.53016539","91.57677605","91.62787177","91.66004315","92.23912797","93.22508611","93.63763673","94.42004846","95.32101757","96.36394609","96.83903695","97.00181708","96.41694428","96.53824679","97.33482226","97.09287177","96.88256095","97.19895775","97.14684534","97.80197283","98.3435697","98.52968546","98.74371859","98.67671692","98.81444258","98.87027731","98.96519635","99.29462125","99.01792702","99.04028922","99.3999478215","99.65152249","99.7912862","99.96645671","100.5534643","100.7994484","101.0062987",
"종합","8개도","월세수급동향","","98.08992986","98.14003006","98.65981964","97.68286573","97.48246493","96.76146329","96.55561122","96.33016032","96.12975952","95.63502004","94.56412826","93.51828657","93.75626253","93.43061122","94.02660218","93.27690447","93.46800532","92.85973398","93.02297461","93.35672798","93.43538238","92.75248244","92.37545565","92.55396556","92.57149782","92.20527717","91.80784124","92.11035818","90.68247822","91.62958115","91.35471204","91.23691099","91.36125654","89.59424084","88.65837696","86.86518325","86.42015707","85.58900524","85.22905759","84.71858639","84.04450262","83.56675393","81.6959212","81.3865387","80.5215305","80.81197121","79.83331229","79.20191943","80.86879657","80.70463442","80.5215305","80.41419371","80.71094835","81.75274656","83.42867803","83.77471093","84.26582121","83.743628","84.04824071","86.10386383","91.39023481","92.65747298","93.943347","95.23543297","96.97477948","99.55273947","99.59001118","99.41607653","99.80742949","98.90669648","98.2855013","99.50304386","102.4886878","103.2464268","103.609136","106.4713065","102.9268118","101.7500359","101.4553687","101.4042523","101.7567179","101.4767174","101.9552872","102.313717","102.4398132","102.9424445","101.9284637","101.9895138","100.2621561","98.27623357","96.7386745","96.67225951","95.84032438","95.75293624","95.79138702","95.81935123","96.42982027","96.91237149","97.58724386","98.16770404","98.3110707","97.68864956","97.87175235","98.61802101","98.52819237","97.87175235","97.8752073","98.0134052","97.70936982","98.18269762","98.10668878","98.23452184","98.22070205","98.75967385","98.84604754","98.71130459","98.86677722","98.37489493","98.01064724","98.3468758756","98.85822359","99.36256655","99.28551415","99.83538806","99.8669095","100.385262",
"종합","서울","월세수급동향","","90.19285042","90.7925682","92.02728128","91.56867357","91.25117592","92.42709313","92.72107244","92.53292568","92.45061148","92.54468485","92.46237065","92.30950141","92.16839135","90.62793979","90.32596042","90.83818393","91.26891735","91.42025611","91.87427241","91.79278231","92.89871944","93.15691303","93.85409336","93.70613009","93.32167832","91.91707431","92.23153972","92.17330538","91.59096203","90.67040266","90.83644666","91.05437941","89.39393939","86.57119137","83.98713159","84.5890411","85.62681611","86.96554587","89.02034039","88.11747613","87.12121212","84.9833956","80.20855057","74.44212722","73.31595412","74.79666319","75.79770594","76.725756","81.02189781","86.42335766","87.57038582","89.27007299","90.90719499","96.25651721","97.97055312","97.86112216","98.02108194","98.46918489","96.7693837","100.8348241","105.0248262","106.673287","109.7696585","111.8546465","112.9368546","115.2601271","114.3566322","112.5794281","109.9384432","107.7640985","107.7442415","111.0305798","106.054112","106.3822663","107.9024913","107.5341548","101.4934369","98.82707775","98.63362358","97.84967846","97.69591427","97.40790355","98.61315825","99.31681179","98.44587353","99.64481973","99.43075275","99.06241629","95.67372087","91.7425663","88.58169935","88.37908497","89.37908497","90.5751634","92.4248366","93.39869281","93.68627451","94.95424837","95.22875817","95.22875817","95.99346405","95.60130719","95.34329512","95.89720469","96.63789772","98.00979003","99.65219632","100.5474688","101.8098673","101.4942677","101.7969857","101.7325776","101.0240886","100.1932243","100.1416978","100.7020482","101.2366353","100.823257","101.7043993","102.7977874968","102.7784924","102.9521482","104.0198096","105.5248263","105.7370723","105.8721379",
"종합","강북권역","월세수급동향","","88.64042934","88.72987478","91.79338104","91.21198569","90.72003578","91.8157424","91.92754919","91.74865832","90.63059034","90.47406082","90.11627907","89.53488372","89.55724508","88.99821109","90.15084295","89.52972493","89.19698314","89.79591837","90.32830524","90.57231588","91.1934339","92.02930728","92.36607143","92.19653179","90.97376612","88.76554174","88.78774423","88.41030195","88.03285968","84.96180137","85.4845195","85.96702855","85.4845195","82.8106152","79.77482911","79.59388822","80.65942903","81.46361078","81.72496984","81.46361078","80.84036992","80.69963812","75.66693614","72.73645918","72.06952304","73.14066289","73.52465643","73.72675829","79.04203719","82.57881973","83.64995958","85.08488278","86.03476152","88.78334681","90.36167757","92.13158907","92.36831988","94.21820976","93.08490204","98.94393241","102.8417819","104.6658986","108.5604607","110.3838772","111.0556622","114.4337812","113.5508637","112.1113244","109.7504798","108.5412668","108.925144","113.1285988","109.1397849","110.125448","109.4086022","107.9237071","102.5857655","99.19354839","98.51510497","98.23348694","97.93854033","98.43790013","99.82069672","99.79513444","100.1152074","101.8950064","102.2017409","101.344086","98.2078853","93.97081413","93.21018472","93.27259111","93.68447329","93.38492262","94.60808787","94.9326011","95.64403395","96.36794808","96.48027958","96.03095357","96.40539191","95.94358462","95.51597052","96.42506143","97.23587224","99.33660934","101.1547912","101.7813268","102.3710074","102.002457","102.2113022","101.8181818","101.2162162","100.0614251","100.1351351","100.3808354","100.8230958","100.5899705","101.4380531","102.8761061947","103.1096362","102.7286136","104.3018682","105.653884","105.8136676","106.0594887",
"종합","도심권","월세수급동향","","84.59530026","84.59530026","86.68407311","86.68407311","87.46736292","87.72845953","87.72845953","87.72845953","87.72845953","87.72845953","87.72845953","87.72845953","88.12010444","87.07571802","95.16971279","95.82245431","95.5613577","94.25587467","95.5613577","94.77806789","94.77806789","98.30287206","97.91122715","99.34725849","98.95561358","96.60574413","97.78067885","99.47780679","98.56396867","98.88888889","99.11111111","99.33333333","100","91.66666667","90.22222222","96.44444444","96.55555556","100.5555556","100.7777778","101.7777778","100.5555556","101","94.29824561","86.29385965","86.40350877","86.40350877","86.18421053","87.39035088","82.89473684","85.0877193","86.73245614","88.04824561","88.37719298","95.06578947","95.96273292","97.92960663","100.2061856","96.30390144","94.86652977","100.6160164","101.026694","102.1560575","108.6065574","113.3196721","114.5491803","116.9057377","113.7295082","110.8606557","108.5040984","107.5819672","107.0696721","115.0614754","106.4250412","105.4365733","101.5650741","104.2009885","104.6128501","98.68204283","97.28171334","97.8583196","96.62273476","98.51485149","96.86468647","97.03459638","98.51729819","98.51729819","99.17627677","98.76441516","96.95222405","94.72817133","94.55128205","94.07051282","95.83333333","92.94871795","92.86858974","94.07051282","94.71153846","94.95192308","95.59294872","95.11217949","94.63141026","94.47115385","93.05993691","93.45425868","93.84858044","94.87381703","98.65930599","100.4731861","101.0252366","101.4984227","101.1829653","101.4984227","100.8675079","101.1829653","101.1829653","101.8927445","102.1293375","101.9809826","102.2187005","103.2488114105","101.9809826","101.5055468","103.7242472","106.6561014","107.0522979","106.9730586",
